geoid,dperim,dpperim,darea,dparea
3409,11,0,12,0
2404,5,0,8,0
5403,3,0,3,0
1000,1,0,1,0
2610,10,0,15,0
1214,19,0,27,0
0616,18,0,53,0
0501,3,0,4,0
0200,1,0,1,0
4804,13,0,36,0
1601,2,0,2,0
3800,1,0,1,0
4901,3,0,4,0
7898,1,0,1,0
4401,2,0,2,0
5501,7,0,8,0
4704,8,0,9,0
2804,4,0,4,0
3502,2,0,3,0
3102,3,0,3,0
6098,1,0,1,0
0903,5,0,6,0
1302,8,0,14,0
0106,6,0,7,0
2903,8,0,8,0
1803,7,0,9,0
4101,5,0,5,0
7298,1,0,1,0
1198,1,0,1,0
0404,4,0,9,0
6698,1,0,1,0
2504,7,0,9,0
4504,7,0,7,0
3901,9,0,16,0
3701,9,0,13,0
2703,6,0,8,0
1502,2,0,2,0
1903,4,0,4,0
2106,5,0,6,0
1717,10,0,19,0
2301,2,0,2,0
2001,4,0,4,0
5000,1,0,1,0
6998,1,0,1,0
3000,1,0,1,0
4600,1,0,1,0
3204,3,0,4,0
5308,6,0,10,0
0804,3,0,7,0
5600,1,0,1,0
3301,2,0,2,0
4206,13,0,18,0
3624,19,0,27,0
5111,9,0,11,0
4005,4,0,5,0
2205,4,0,6,0
